id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0177,Argentina,21,M,Amazonas,Cusco,2025-08-24,5,936.0,Bus
V0178,EEUU,48,F,Lago Titicaca,Cajamarca,2025-01-14,3,2944.0,Auto
V0179,Perú,51,F,Amazonas,Cusco,2025-01-07,10,4354.0,Desconocido
V0180,Francia,23,M,Machu Picchu,Cajamarca,2025-07-04,3,2286.0,Tren
V0181,Francia,39,M,Machu Picchu,Loreto,2025-11-19,3,4079.0,Tren
V0182,Argentina,50,M,Líneas de Nazca,Cusco,2025-08-12,1,4208.0,Auto
V0183,EEUU,64,M,Machu Picchu,La Libertad,2025-02-07,4,1747.0,Avión
V0184,Brasil,64,F,Lago Titicaca,Puno,2025-02-21,7,2182.0,Tren
V0185,España,56,M,Caral,Cusco,2025-07-20,4,3107.0,Bus
V0186,Perú,32,F,Cajamarca,La Libertad,2025-04-24,4,3194.0,Avión
V0187,España,63,M,Amazonas,Puno,2025-02-20,8,4065.0,Desconocido
V0188,Perú,69,M,Chan Chan,Ica,2025-07-07,8,1403.0,Tren
V0189,Colombia,48,M,Cajamarca,Puno,2025-05-11,2,3301.0,Auto
V0190,Colombia,57,F,Cajamarca,Loreto,2025-01-15,9,4903.0,Avión
V0191,Colombia,29,M,Líneas de Nazca,Puno,2025-02-10,3,919.0,Tren
V0192,España,64,F,Cajamarca,Puno,2025-10-03,7,2008.0,Tren
V0193,Argentina,62,M,Lago Titicaca,La Libertad,2025-06-13,4,3145.0,Avión
V0194,Argentina,61,F,Líneas de Nazca,La Libertad,2025-06-16,6,1872.0,Avión
V0195,EEUU,43,M,Chan Chan,Lima,2025-10-21,7,2209.0,Tren
V0196,Ecuador,62,F,Caral,Cusco,2025-01-24,3,1956.0,Tren
V0197,Francia,52,F,Caral,Puno,2025-01-11,10,1193.0,Desconocido
V0198,Brasil,55,M,Amazonas,Ica,2025-07-16,1,4398.0,Avión
V0199,Perú,35,F,Sin destino,Lima,2025-02-20,7,636.0,Auto
V0200,Perú,69,M,Machu Picchu,Puno,2025-09-27,3,4167.0,Desconocido
V0201,Chile,34,F,Líneas de Nazca,Loreto,2025-05-02,8,3625.0,Desconocido
V0202,Perú,60,M,Caral,Lima,2025-04-28,1,2219.0,Auto
V0203,Colombia,63,M,Amazonas,Puno,2025-06-20,10,2993.0,Desconocido
V0204,Brasil,55,F,Chan Chan,Puno,2025-05-19,1,407.0,Avión
V0205,Chile,32,M,Chan Chan,Cusco,2025-03-20,8,1702.0,Avión
V0206,Ecuador,28,M,Cajamarca,Lima,2025-02-27,2,672.0,Auto
V0207,España,70,F,Amazonas,Loreto,2025-10-23,5,3633.0,Bus
V0208,España,38,F,Chan Chan,Loreto,2025-05-07,6,4497.0,Bus
V0209,Colombia,37,F,Amazonas,Loreto,2025-06-19,8,1396.0,Auto
V0210,Francia,66,F,Lago Titicaca,Puno,2025-05-01,7,4373.0,Bus
V0211,Perú,45,M,Amazonas,Cajamarca,2025-04-23,2,4656.0,Avión
V0212,Colombia,52,F,Cajamarca,Lima,2025-02-20,2,1257.0,Auto
V0213,España,44,F,Caral,Cusco,2025-11-13,8,3470.0,Tren
V0214,Ecuador,46,M,Lago Titicaca,Cajamarca,2025-12-04,1,2717.0,Bus
V0215,EEUU,43,F,Amazonas,Cajamarca,2025-03-16,4,3457.0,Desconocido
V0216,Argentina,33,M,Machu Picchu,Lima,2025-07-15,1,4841.0,Bus
V0217,Perú,65,M,Chan Chan,Lima,2025-08-15,10,3535.0,Bus
V0218,Argentina,67,M,Cajamarca,Cajamarca,2025-02-26,1,3359.0,Tren
V0219,Colombia,36,F,Cajamarca,Puno,2025-04-15,2,2144.0,Tren
V0220,Chile,28,F,Amazonas,La Libertad,2025-08-22,7,2269.0,Desconocido
V0221,Perú,40,F,Líneas de Nazca,Cajamarca,2025-05-15,7,3281.0,Bus
V0222,España,39,F,Lago Titicaca,Cusco,2025-10-04,3,2531.0,Auto
V0223,Argentina,65,M,Líneas de Nazca,Lima,2025-06-20,9,891.0,Avión
V0224,Chile,51,M,Machu Picchu,Puno,2025-01-14,4,2998.0,Desconocido
V0225,Argentina,54,M,Amazonas,La Libertad,2025-10-10,9,3411.0,Tren
V0226,España,49,F,Caral,Loreto,2025-07-14,4,3379.0,Bus
V0227,Argentina,46,F,Machu Picchu,Lima,2025-03-22,1,583.0,Avión
V0228,España,69,M,Cajamarca,Cajamarca,2025-09-17,10,1934.0,Bus
V0229,Brasil,49,F,Líneas de Nazca,Ica,2025-10-08,6,1982.0,Desconocido
V0230,Francia,37,F,Cajamarca,Cusco,2025-06-20,9,1255.0,Tren
V0231,Brasil,44,F,Cajamarca,Ica,2025-03-17,5,2082.0,Tren
V0232,Chile,66,M,Amazonas,Cusco,2025-01-13,3,4081.0,Bus
V0233,Perú,59,F,Machu Picchu,La Libertad,2025-11-09,7,720.0,Bus
V0234,Francia,45,F,Líneas de Nazca,Cusco,2025-12-22,5,2679.0,Desconocido
V0235,Colombia,38,F,Lago Titicaca,Loreto,2025-02-09,7,731.0,Desconocido
V0236,Francia,60,F,Amazonas,Loreto,2025-09-17,6,3786.0,Avión
V0237,Perú,64,M,Lago Titicaca,Ica,2025-10-26,4,4759.0,Avión
V0238,Francia,55,F,Machu Picchu,Ica,2025-11-05,6,4345.0,Desconocido
V0239,Ecuador,35,F,Caral,La Libertad,2025-02-13,9,3773.0,Bus
V0240,Ecuador,54,F,Líneas de Nazca,La Libertad,2025-07-12,3,1886.0,Desconocido
V0241,Francia,23,M,Cajamarca,Loreto,2025-01-13,6,4056.0,Avión
V0242,Francia,51,F,Lago Titicaca,Cusco,2025-12-20,9,3735.0,Tren
V0243,Colombia,23,F,Caral,Cajamarca,2025-08-09,7,3462.0,Avión
V0244,España,51,F,Machu Picchu,Cajamarca,2025-06-09,3,4278.0,Avión
V0245,Argentina,61,M,Machu Picchu,Cajamarca,2025-05-08,6,1865.0,Tren
V0246,España,47,M,Chan Chan,Cusco,2025-05-05,2,956.0,Tren
V0247,Perú,67,F,Caral,Ica,2025-03-17,10,3991.0,Tren
V0248,Argentina,42,M,Chan Chan,La Libertad,2025-06-07,9,4301.0,Bus
V0249,Chile,67,F,Lago Titicaca,La Libertad,2025-12-23,10,4710.0,Tren
V0250,Argentina,38,M,Machu Picchu,Cusco,2025-03-02,1,2964.0,Auto
V0251,España,34,M,Chan Chan,Puno,2025-05-23,4,4944.0,Bus
V0252,Argentina,68,M,Machu Picchu,La Libertad,2025-02-05,1,4138.0,Auto
V0253,Brasil,36,F,Líneas de Nazca,Lima,2025-10-14,3,1947.0,Bus
V0254,Argentina,34,M,Lago Titicaca,Puno,2025-01-27,6,1885.0,Tren
V0255,España,68,F,Líneas de Nazca,Ica,2025-04-14,9,561.0,Auto
V0256,Perú,37,M,Amazonas,Cusco,2025-08-01,3,2552.0,Desconocido
V0257,Colombia,53,F,Lago Titicaca,Cusco,2025-03-21,2,592.0,Auto
V0258,Brasil,46,F,Cajamarca,Loreto,2025-12-14,2,1763.0,Avión
V0259,Chile,22,F,Chan Chan,Cajamarca,2025-12-03,3,2780.0,Bus
V0260,EEUU,41,F,Líneas de Nazca,Cusco,2025-12-06,7,827.0,Desconocido
V0261,España,68,M,Lago Titicaca,Loreto,2025-11-25,9,2520.0,Bus
V0262,Chile,69,F,Machu Picchu,Cajamarca,2025-06-17,8,4026.0,Tren
V0263,Argentina,18,F,Chan Chan,Cajamarca,2025-10-02,7,2034.0,Bus
V0264,España,26,F,Chan Chan,Lima,2025-04-12,6,1103.0,Auto
V0265,EEUU,65,M,Lago Titicaca,Lima,2025-09-23,3,4931.0,Desconocido
V0266,Brasil,39,F,Lago Titicaca,Ica,2025-01-19,4,4451.0,Bus
V0267,Argentina,20,M,Amazonas,Cajamarca,2025-03-06,2,3294.0,Auto
V0268,España,70,F,Cajamarca,Ica,2025-06-08,10,1789.0,Avión
V0269,Chile,39,M,Amazonas,Lima,2025-06-11,5,4547.0,Desconocido
V0270,Chile,30,M,Lago Titicaca,Puno,2025-05-08,10,4349.0,Auto
V0271,Ecuador,21,F,Lago Titicaca,La Libertad,2025-08-16,5,2528.0,Bus
V0272,Chile,42,M,Líneas de Nazca,Loreto,2025-06-15,3,2668.0,Bus
V0273,Francia,64,F,Caral,Loreto,2025-03-23,9,4639.0,Desconocido
V0274,Chile,39,F,Cajamarca,Puno,2025-07-23,10,464.0,Avión
V0275,Colombia,70,F,Líneas de Nazca,Cajamarca,2025-06-21,7,3589.0,Tren
V0276,Chile,28,M,Lago Titicaca,Cusco,2025-07-20,9,407.0,Auto
V0277,Perú,68,F,Chan Chan,Puno,2025-07-17,6,1674.0,Tren
V0278,Ecuador,56,F,Amazonas,Cusco,2025-08-27,7,1760.0,Tren
V0279,Argentina,23,M,Caral,Lima,2025-11-26,6,1090.0,Auto
V0280,Brasil,45,F,Chan Chan,Puno,2025-03-05,10,4328.0,Desconocido
V0281,EEUU,50,F,Lago Titicaca,Cusco,2025-02-20,10,4507.0,Avión
V0282,España,54,F,Caral,Loreto,2025-06-28,4,2605.0,Avión
V0283,EEUU,70,M,Machu Picchu,Loreto,2025-08-24,6,3564.0,Avión
V0284,EEUU,68,M,Chan Chan,La Libertad,2025-01-08,1,4507.0,Tren
V0285,Perú,60,M,Amazonas,Ica,2025-11-04,10,3959.0,Avión
V0286,Chile,44,M,Lago Titicaca,Cajamarca,2025-03-03,10,4228.0,Bus
V0287,España,37,M,Machu Picchu,La Libertad,2025-07-15,5,3759.0,Avión
V0288,Colombia,43,M,Caral,Lima,2025-07-02,1,1531.0,Auto
V0289,Ecuador,39,F,Amazonas,Puno,2025-12-12,6,778.0,Bus
V0290,Chile,69,M,Caral,Cajamarca,2025-02-13,8,4042.0,Bus
V0291,Perú,28,M,Machu Picchu,Lima,2025-05-26,10,1856.0,Auto
V0292,Francia,42,F,Lago Titicaca,Loreto,2025-07-06,5,1989.0,Tren
V0293,Argentina,20,F,Líneas de Nazca,Puno,2025-06-07,7,4610.0,Desconocido
V0294,Perú,44,F,Cajamarca,Ica,2025-11-19,1,1162.0,Auto
V0295,Colombia,34,M,Líneas de Nazca,Lima,2025-03-01,5,1775.0,Desconocido
V0296,Ecuador,45,M,Líneas de Nazca,Lima,2025-10-17,6,4464.0,Bus
V0297,EEUU,26,F,Machu Picchu,Puno,2025-08-03,1,4611.0,Bus
V0298,Argentina,58,F,Cajamarca,Lima,2025-07-17,4,4209.0,Avión
V0299,EEUU,31,M,Lago Titicaca,Cusco,2025-02-22,3,1207.0,Bus
V0300,Argentina,62,M,Chan Chan,La Libertad,2025-02-18,5,1692.0,Auto
V0301,EEUU,47,M,Chan Chan,La Libertad,2025-04-21,3,586.0,Tren
V0302,Francia,63,M,Lago Titicaca,Lima,2025-03-26,3,2425.0,Desconocido
V0303,Ecuador,33,F,Líneas de Nazca,Ica,2025-02-28,2,2945.0,Bus
V0304,Ecuador,60,F,Lago Titicaca,La Libertad,2025-06-22,4,1477.0,Auto
V0305,Brasil,36,M,Líneas de Nazca,Lima,2025-09-20,8,3123.0,Bus
V0306,Brasil,39,F,Amazonas,La Libertad,2025-08-05,5,1625.0,Tren
V0307,Perú,62,F,Amazonas,Lima,2025-11-23,4,2407.0,Avión
V0308,Chile,45,F,Machu Picchu,Loreto,2025-01-18,5,3465.0,Tren
V0309,Chile,22,F,Amazonas,Loreto,2025-11-25,8,556.0,Bus
V0310,España,34,F,Chan Chan,Cajamarca,2025-04-07,6,3574.0,Tren
V0311,Ecuador,25,M,Líneas de Nazca,Ica,2025-04-28,1,309.0,Bus
V0312,Ecuador,54,M,Caral,Ica,2025-08-15,10,1683.0,Desconocido
V0313,Ecuador,45,F,Líneas de Nazca,Lima,2025-04-21,5,1737.0,Desconocido
V0314,Colombia,29,F,Chan Chan,Cajamarca,2025-04-25,2,2428.0,Tren
V0315,EEUU,40,F,Líneas de Nazca,La Libertad,2025-02-02,9,4121.0,Bus
V0316,Brasil,26,M,Amazonas,La Libertad,2025-02-15,5,3774.0,Tren
V0317,España,37,M,Amazonas,Loreto,2025-07-15,8,4032.0,Auto
V0318,Perú,45,F,Amazonas,Puno,2025-11-24,8,2207.0,Desconocido
V0319,Argentina,44,M,Amazonas,Puno,2025-10-06,1,2448.0,Auto
V0320,Ecuador,46,M,Líneas de Nazca,Puno,2025-04-22,3,2874.0,Auto
V0321,Francia,29,M,Cajamarca,Lima,2025-02-13,7,1201.0,Bus
V0322,España,34,F,Líneas de Nazca,La Libertad,2025-10-03,5,3048.0,Desconocido
V0323,Brasil,51,M,Chan Chan,Lima,2025-01-15,1,1163.0,Bus
